id,split,clean_path,noisy_path
p226_001,train,data/voicebank_demand/train/clean/p226_001.wav,data/voicebank_demand/train/noisy/p226_001.wav
p226_002,train,data/voicebank_demand/train/clean/p226_002.wav,data/voicebank_demand/train/noisy/p226_002.wav
p226_003,train,data/voicebank_demand/train/clean/p226_003.wav,data/voicebank_demand/train/noisy/p226_003.wav
p226_004,train,data/voicebank_demand/train/clean/p226_004.wav,data/voicebank_demand/train/noisy/p226_004.wav
p226_005,train,data/voicebank_demand/train/clean/p226_005.wav,data/voicebank_demand/train/noisy/p226_005.wav
p226_006,train,data/voicebank_demand/train/clean/p226_006.wav,data/voicebank_demand/train/noisy/p226_006.wav
p226_007,train,data/voicebank_demand/train/clean/p226_007.wav,data/voicebank_demand/train/noisy/p226_007.wav
p226_008,train,data/voicebank_demand/train/clean/p226_008.wav,data/voicebank_demand/train/noisy/p226_008.wav
p226_009,train,data/voicebank_demand/train/clean/p226_009.wav,data/voicebank_demand/train/noisy/p226_009.wav
p226_010,train,data/voicebank_demand/train/clean/p226_010.wav,data/voicebank_demand/train/noisy/p226_010.wav
p226_011,train,data/voicebank_demand/train/clean/p226_011.wav,data/voicebank_demand/train/noisy/p226_011.wav
p226_012,train,data/voicebank_demand/train/clean/p226_012.wav,data/voicebank_demand/train/noisy/p226_012.wav
p226_013,train,data/voicebank_demand/train/clean/p226_013.wav,data/voicebank_demand/train/noisy/p226_013.wav
p226_014,train,data/voicebank_demand/train/clean/p226_014.wav,data/voicebank_demand/train/noisy/p226_014.wav
p226_015,train,data/voicebank_demand/train/clean/p226_015.wav,data/voicebank_demand/train/noisy/p226_015.wav
p226_016,train,data/voicebank_demand/train/clean/p226_016.wav,data/voicebank_demand/train/noisy/p226_016.wav
p226_017,train,data/voicebank_demand/train/clean/p226_017.wav,data/voicebank_demand/train/noisy/p226_017.wav
p226_018,train,data/voicebank_demand/train/clean/p226_018.wav,data/voicebank_demand/train/noisy/p226_018.wav
p226_019,train,data/voicebank_demand/train/clean/p226_019.wav,data/voicebank_demand/train/noisy/p226_019.wav
p226_020,train,data/voicebank_demand/train/clean/p226_020.wav,data/voicebank_demand/train/noisy/p226_020.wav
p226_021,train,data/voicebank_demand/train/clean/p226_021.wav,data/voicebank_demand/train/noisy/p226_021.wav
p226_022,train,data/voicebank_demand/train/clean/p226_022.wav,data/voicebank_demand/train/noisy/p226_022.wav
p226_023,train,data/voicebank_demand/train/clean/p226_023.wav,data/voicebank_demand/train/noisy/p226_023.wav
p226_024,train,data/voicebank_demand/train/clean/p226_024.wav,data/voicebank_demand/train/noisy/p226_024.wav
p226_025,train,data/voicebank_demand/train/clean/p226_025.wav,data/voicebank_demand/train/noisy/p226_025.wav
p226_026,train,data/voicebank_demand/train/clean/p226_026.wav,data/voicebank_demand/train/noisy/p226_026.wav
p226_027,train,data/voicebank_demand/train/clean/p226_027.wav,data/voicebank_demand/train/noisy/p226_027.wav
p226_028,train,data/voicebank_demand/train/clean/p226_028.wav,data/voicebank_demand/train/noisy/p226_028.wav
p226_029,train,data/voicebank_demand/train/clean/p226_029.wav,data/voicebank_demand/train/noisy/p226_029.wav
p226_030,train,data/voicebank_demand/train/clean/p226_030.wav,data/voicebank_demand/train/noisy/p226_030.wav
p226_031,train,data/voicebank_demand/train/clean/p226_031.wav,data/voicebank_demand/train/noisy/p226_031.wav
p226_032,train,data/voicebank_demand/train/clean/p226_032.wav,data/voicebank_demand/train/noisy/p226_032.wav
p226_033,train,data/voicebank_demand/train/clean/p226_033.wav,data/voicebank_demand/train/noisy/p226_033.wav
p226_034,train,data/voicebank_demand/train/clean/p226_034.wav,data/voicebank_demand/train/noisy/p226_034.wav
p226_036,train,data/voicebank_demand/train/clean/p226_036.wav,data/voicebank_demand/train/noisy/p226_036.wav
p226_037,train,data/voicebank_demand/train/clean/p226_037.wav,data/voicebank_demand/train/noisy/p226_037.wav
p226_039,train,data/voicebank_demand/train/clean/p226_039.wav,data/voicebank_demand/train/noisy/p226_039.wav
p226_040,train,data/voicebank_demand/train/clean/p226_040.wav,data/voicebank_demand/train/noisy/p226_040.wav
p226_041,train,data/voicebank_demand/train/clean/p226_041.wav,data/voicebank_demand/train/noisy/p226_041.wav
p226_042,train,data/voicebank_demand/train/clean/p226_042.wav,data/voicebank_demand/train/noisy/p226_042.wav
p226_043,train,data/voicebank_demand/train/clean/p226_043.wav,data/voicebank_demand/train/noisy/p226_043.wav
p226_044,train,data/voicebank_demand/train/clean/p226_044.wav,data/voicebank_demand/train/noisy/p226_044.wav
p226_045,train,data/voicebank_demand/train/clean/p226_045.wav,data/voicebank_demand/train/noisy/p226_045.wav
p226_046,train,data/voicebank_demand/train/clean/p226_046.wav,data/voicebank_demand/train/noisy/p226_046.wav
p226_047,train,data/voicebank_demand/train/clean/p226_047.wav,data/voicebank_demand/train/noisy/p226_047.wav
p226_048,train,data/voicebank_demand/train/clean/p226_048.wav,data/voicebank_demand/train/noisy/p226_048.wav
p226_049,train,data/voicebank_demand/train/clean/p226_049.wav,data/voicebank_demand/train/noisy/p226_049.wav
p226_050,train,data/voicebank_demand/train/clean/p226_050.wav,data/voicebank_demand/train/noisy/p226_050.wav
p226_051,train,data/voicebank_demand/train/clean/p226_051.wav,data/voicebank_demand/train/noisy/p226_051.wav
p226_052,train,data/voicebank_demand/train/clean/p226_052.wav,data/voicebank_demand/train/noisy/p226_052.wav
p226_053,train,data/voicebank_demand/train/clean/p226_053.wav,data/voicebank_demand/train/noisy/p226_053.wav
p226_054,train,data/voicebank_demand/train/clean/p226_054.wav,data/voicebank_demand/train/noisy/p226_054.wav
p226_055,train,data/voicebank_demand/train/clean/p226_055.wav,data/voicebank_demand/train/noisy/p226_055.wav
p226_056,train,data/voicebank_demand/train/clean/p226_056.wav,data/voicebank_demand/train/noisy/p226_056.wav
